,Date,Timestamp,MilkyWay Zone,MilkyWay Zone,MilkyWay Zone,MilkyWay Zone,MilkyWay Zone,MilkyWay Zone
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,osmosis,Total,osmosis,Total,osmosis,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,TIA,TIA,TIA,TIA
,23/12/2023,1703289600,3739175.2007966405,3739175.2007966405,3739175.2007966405,3739175.2007966405,306238.755184,306238.755184
,24/12/2023,1703376000,3781025.4836721006,3781025.4836721006,3781025.4836721006,3781025.4836721006,307400.445827,307400.445827
,25/12/2023,1703462400,4830105.09981124,4830105.09981124,4830105.09981124,4830105.09981124,340628.004218,340628.004218
,26/12/2023,1703548800,5007522.9567322405,5007522.9567322405,5007522.9567322405,5007522.9567322405,364979.807342,364979.807342
,27/12/2023,1703635200,5010674.6405196,5010674.6405196,5010674.6405196,5010674.6405196,393920.962305,393920.962305
,28/12/2023,1703721600,5332349.10480189,5332349.10480189,5332349.10480189,5332349.10480189,418880.526693,418880.526693
,29/12/2023,1703808000,5359057.943624429,5359057.943624429,5359057.943624429,5359057.943624429,451479.186489,451479.186489
,30/12/2023,1703894400,5609576.14929834,5609576.14929834,5609576.14929834,5609576.14929834,446266.996762,446266.996762
,31/12/2023,1703980800,5542428.7328277,5542428.7328277,5542428.7328277,5542428.7328277,465750.313683,465750.313683
,01/01/2024,1704067200,6003693.03224548,6003693.03224548,6003693.03224548,6003693.03224548,501981.022763,501981.022763
,02/01/2024,1704153600,8579512.87030143,8579512.87030143,8579512.87030143,8579512.87030143,623058.305759,623058.305759
,03/01/2024,1704240000,9023114.81069523,9023114.81069523,9023114.81069523,9023114.81069523,704380.547283,704380.547283
,04/01/2024,1704326400,10450419.18598166,10450419.18598166,10450419.18598166,10450419.18598166,857294.436914,857294.436914
,05/01/2024,1704412800,15300314.82801675,15300314.82801675,15300314.82801675,15300314.82801675,971448.560509,971448.560509
,06/01/2024,1704499200,19350990.0857385,19350990.0857385,19350990.0857385,19350990.0857385,1228634.291158,1228634.291158
,07/01/2024,1704585600,18329664.7880718,18329664.7880718,18329664.7880718,18329664.7880718,1269367.367595,1269367.367595
,08/01/2024,1704672000,19087574.606867522,19087574.606867522,19087574.606867522,19087574.606867522,1359513.860888,1359513.860888
,09/01/2024,1704758400,20382345.24949404,20382345.24949404,20382345.24949404,20382345.24949404,1433357.612482,1433357.612482
,10/01/2024,1704844800,23429486.0509353,23429486.0509353,23429486.0509353,23429486.0509353,1568238.691495,1568238.691495
,11/01/2024,1704931200,26457340.38138904,26457340.38138904,26457340.38138904,26457340.38138904,1661893.240037,1661893.240037
,12/01/2024,1705017600,26520415.693506896,26520415.693506896,26520415.693506896,26520415.693506896,1646208.29879,1646208.29879
,13/01/2024,1705104000,27713026.366443902,27713026.366443902,27713026.366443902,27713026.366443902,1700185.666653,1700185.666653
,14/01/2024,1705190400,32998720.773653097,32998720.773653097,32998720.773653097,32998720.773653097,1769368.406094,1769368.406094
,15/01/2024,1705276800,33317643.6911065,33317643.6911065,33317643.6911065,33317643.6911065,1781692.175995,1781692.175995
,16/01/2024,1705363200,35508769.09339232,35508769.09339232,35508769.09339232,35508769.09339232,1865936.368544,1865936.368544
,17/01/2024,1705449600,36080242.77123405,36080242.77123405,36080242.77123405,36080242.77123405,1910018.145645,1910018.145645
,18/01/2024,1705536000,33994691.06811657,33994691.06811657,33994691.06811657,33994691.06811657,1877122.643187,1877122.643187
,19/01/2024,1705622400,32342369.051605597,32342369.051605597,32342369.051605597,32342369.051605597,1913749.648024,1913749.648024
,20/01/2024,1705708800,34666603.205058,34666603.205058,34666603.205058,34666603.205058,1945376.1619,1945376.1619
,21/01/2024,1705795200,33595764.44076356,33595764.44076356,33595764.44076356,33595764.44076356,1915379.956714,1915379.956714
,22/01/2024,1705881600,32488749.36041046,32488749.36041046,32488749.36041046,32488749.36041046,1937313.617198,1937313.617198
,23/01/2024,1705968000,29953643.40810204,29953643.40810204,29953643.40810204,29953643.40810204,1959034.886076,1959034.886076
,24/01/2024,1706054400,32440257.2328471,32440257.2328471,32440257.2328471,32440257.2328471,1980479.684545,1980479.684545
,25/01/2024,1706140800,32522350.366706397,32522350.366706397,32522350.366706397,32522350.366706397,2007552.491772,2007552.491772
,26/01/2024,1706227200,30755766.75741765,30755766.75741765,30755766.75741765,30755766.75741765,2030083.614351,2030083.614351
,27/01/2024,1706313600,34499330.61614442,34499330.61614442,34499330.61614442,34499330.61614442,2057205.164946,2057205.164946
,28/01/2024,1706400000,35551633.85057165,35551633.85057165,35551633.85057165,35551633.85057165,2072981.565631,2072981.565631
,29/01/2024,1706486400,35777614.480076075,35777614.480076075,35777614.480076075,35777614.480076075,2103328.305707,2103328.305707
,30/01/2024,1706572800,37678675.898817144,37678675.898817144,37678675.898817144,37678675.898817144,2113217.941605,2113217.941605
,31/01/2024,1706659200,44849966.89736976,44849966.89736976,44849966.89736976,44849966.89736976,2525335.973951,2525335.973951
,01/02/2024,1706745600,41460256.48006836,41460256.48006836,41460256.48006836,41460256.48006836,2546698.800987,2546698.800987
